"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"251","Nebraska",2018,16.9811,0.1745,0.0676,0.2421,2.9,0.098,0.125,0.112
"252","Nebraska",2019,14.8768,0.1715,0.065,0.2365,3.1,0.082,0.12,0.101
"253","Nevada",2011,33.2959,0.7973,0.1177,0.915,13.1,0.137,0.162,0.15
"254","Nevada",2012,35.49,0.7493,0.1004,0.8497,11.1,0.132,0.162,0.147
"255","Nevada",2013,36.0953,0.62,0.0839,0.7039,10,0.133,0.16,0.147
"256","Nevada",2014,38.3622,0.7356,0.1226,0.8582,8.2,0.124,0.154,0.139
"257","Nevada",2015,42.0413,0.7858,0.0885,0.8743,6.9,0.121,0.158,0.14
"258","Nevada",2016,43.9782,0.6853,0.0545,0.7398,5.8,0.121,0.158,0.14
"259","Nevada",2017,44.0614,0.7281,0.0552,0.7833,5,0.104,0.14,0.122
"260","Nevada",2018,43.9941,0.7058,0.0486,0.7544,4.4,0.107,0.137,0.122
"261","Nevada",2019,39.1569,0.6614,0.0555,0.7169,4,0.104,0.139,0.122
"262","New Hampshire",2011,11.3407,0.082,0.0649,0.1469,5.2,0.076,0.095,0.085
"263","New Hampshire",2012,11.6895,0.0832,0.0664,0.1496,5.6,0.08,0.097,0.089
"264","New Hampshire",2013,11.7315,0.0798,0.0649,0.1447,5.3,0.083,0.099,0.091
"265","New Hampshire",2014,11.1701,0.0795,0.0581,0.1376,4.3,0.073,0.105,0.089
"266","New Hampshire",2015,10.6296,0.0778,0.0667,0.1445,3.4,0.065,0.087,0.076
"267","New Hampshire",2016,9.8464,0.0827,0.0539,0.1366,2.9,0.065,0.087,0.076
"268","New Hampshire",2017,9.2457,0.0776,0.068,0.1456,2.8,0.057,0.083,0.07
"269","New Hampshire",2018,8.6502,0.0835,0.0615,0.145,2.6,0.064,0.078,0.071
"270","New Hampshire",2019,7.0412,0.0812,0.0584,0.1396,2.6,0.068,0.089,0.079
"271","New Jersey",2011,75.9136,0.6841,0.7296,1.4137,9.3,0.078,0.107,0.093
"272","New Jersey",2012,82.6134,0.6603,0.6422,1.3025,9.3,0.081,0.111,0.096
