"","YearStart","LocationAbbr","LocationDesc","DataValue","LowConfidenceLimit","HighConfidenceLimit","LocationID","TOBDataValue","TOBLowConfidenceLimit","TOBHighConfidenceLimit","AlcHeavyDataValue","AlcHeavyLowConfidenceLimit","AlcHeavyHighConfidenceLimit","AlcBingeDataValue","AlcBingeLowConfidenceLimit","AlcBingeHighConfidenceLimit","ObeDataValue","ObeLowConfidenceLimit","ObeHighConfidenceLimit","selfHlthDataValue","selfHlthLowConfidenceLimit","selfHlthHighConfidenceLimit","HlthCareDataValue","HlthCareLowConfidenceLimit","HlthCareHighConfidenceLimit","X.x","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty","X.y","o3_mean","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"48",2011,"VT","Vermont",16.4,13.5,19.7,50,"23.0",19.6,26.8,"8.4",6.5,10.9,"23.0",19.7,26.6,"42.7",38.7,46.8,91.3,88.8,93.3,89.9,87,92.2,406,9.2038,0.0637,0.0507,0.1144,7.2,0.094,0.118,0.106,46,0.0308216783094034,7.77559886068405,2.09376458977434,0.372104506383314,7.83900449160032,"Vermont"
"49",2011,"WI","Wisconsin",11.2,8.5,14.5,55,"24.3",20.1,29,"10.0",7.4,13.6,"26.5",22,31.5,"47.8",42.5,53.1,89.7,86.5,92.3,88.2,84.3,91.3,442,80.1073,0.2838,0.2947,0.5785,8.5,0.112,0.14,0.126,50,0.0333807875642937,9.14730504599545,2.38245612771754,0.144372049315069,3.12372097653917,"Wisconsin"
"50",2011,"WA","Washington",12.1,10.1,14.5,53,"19.2",16.8,22,"7.7",6,9.9,"20.4",17.7,23.3,"47.3",43.9,50.8,89.6,87.6,91.4,76.1,73.2,78.9,424,105.4693,1.0868,0.9571,2.0439,6.3,0.122,0.145,0.134,48,0.0251893394329415,7.87277724940949,0.717361185633899,0.311434102204817,5.81081500638978,"Washington"
"51",2011,"WV","West Virginia",11.9,9.5,14.8,54,"35.7",32,39.6,"3.0",1.9,4.6,"8.7",6.8,11,"61.1",57,65,82.2,79,85,73.3,69.5,76.7,433,34.5955,0.1662,0.0549,0.2211,9.1,0.165,0.205,0.185,49,0.0314576164100387,10.9829202940736,3.89935655303425,0.394552373389506,NA,"West Virginia"
"52",2011,"WY","Wyoming",12.4,9.7,15.7,56,"24.1",20.9,27.6,"4.9",3.6,6.6,"17.2",14.5,20.4,"47.1",43,51.3,89.9,87.3,92,73.5,69.6,77.1,451,3.6031,0.032,0.0718,0.1038,7.5,0.087,0.129,0.107,51,0.0409428614596559,4.17249861169384,1.10694722592545,0.210629228702907,2.24540919395528,"Wyoming"
"53",2012,"AK","Alaska",13,10.2,16.4,2,"21.0",17.6,24.7,"5.4",3.8,7.6,"17.4",14.5,20.8,"50.4",45.8,55.1,90.7,87.6,93,82.6,79.1,85.5,11,9.1298,0.1298,0.0615,0.1913,7.1,0.091,0.12,0.105,55,0.0265616402064028,5.13247819336627,8.30693111363636,0.62583306703614,NA,"Alaska"
"54",2012,"AL","Alabama",10.6,8.5,13.1,1,"27.2",24.1,30.5,"5.0",3.7,6.8,"11.4",9.1,14.1,"58.6",55.1,62.1,81.9,79,84.4,73,69.7,76.1,2,91.0244,0.3825,0.1384,0.5209,7.9,0.147,0.197,0.173,54,0.0299912058502777,10.0327971608334,1.50969980305466,0.360635832207207,NA,"Alabama"
"55",2012,"AZ","Arizona",12,9.5,15,4,"14.6",11.8,18,"4.4",3.1,6.2,"14.2",11.5,17.5,"50.3",45.7,54.9,86.2,82.6,89,73.5,69.1,77.5,20,112.3974,0.631,0.4992,1.1302,8.1,0.154,0.191,0.173,56,0.0372781109071647,8.64743665377377,2.33976615114961,0.394323187184353,17.0320045706954,"Arizona"
"56",2012,"AR","Arkansas",10.4,7.8,13.5,5,"27.3",23.4,31.5,"4.1",2.7,6.4,"11.1",8.7,14.1,"58.2",53.6,62.6,83.9,80.4,86.9,62.8,58.3,67.1,29,50.2125,0.3428,0.0786,0.4214,7.2,0.15,0.203,0.177,57,0.0337978406876514,10.4045253145129,1.51019993181393,0.46787532809296,10.0311335562323,"Arkansas"
"57",2012,"CA","California",10.9,9.4,12.5,6,"11.0",9.5,12.7,"4.7",3.8,5.9,"15.1",13.4,17.1,"49.5",46.8,52.2,86.6,84.8,88.3,75,72.8,77.2,38,396.4221,9.4888,2.521,12.0098,10,0.137,0.168,0.153,58,0.0360245712724963,9.62236957262992,0.633573310314151,0.336690358943162,12.4789097720457,"California"
